일자,방문인원수,counterfactual_visitors,difference
2020-07-26,8223,7330,-893
2020-07-27,887,1821,934
2020-07-28,1343,2782,1439
2020-07-29,4484,3173,-1311
2020-07-30,1977,2233,256
2020-07-31,2922,1606,-1316
2020-08-01,1751,1131,-620
2020-08-02,744,2030,1286
2020-08-03,324,0,-324
2020-08-04,1248,1234,-14
2020-08-05,707,810,103
2020-08-06,858,111,-747
2020-08-07,2138,2373,235
2020-08-08,2916,2296,-620
2020-08-09,250,1384,1134
2020-08-10,775,74,-701
2020-08-11,688,0,-688
2020-08-12,2017,1006,-1011
2020-08-13,1547,1033,-514
2020-08-14,953,1196,243
2020-08-15,1162,365,-797
2020-08-16,6705,4979,-1726
2020-08-17,3880,3495,-385
2020-08-18,801,1034,233
2020-08-19,1599,978,-621
2020-08-20,556,1137,581
2020-08-21,507,931,424
2020-08-22,976,2070,1094
2020-08-23,1923,8387,6464
2020-08-24,571,1000,429
2020-08-25,504,1071,567
2020-08-26,445,1314,869
2020-08-27,323,2023,1700
2020-08-28,439,2848,2409
2020-08-29,756,4673,3917
2020-08-30,1491,4542,3051
2020-08-31,757,1149,392
2020-09-01,910,1276,366
2020-09-02,265,332,67
2020-09-03,4967,579,-4388
2020-09-04,1984,3658,1674
2020-09-05,4480,14234,9754
2020-09-06,3416,8121,4705
2020-09-07,76,226,150
2020-09-08,2201,2335,134
2020-09-09,1003,2568,1565
2020-09-10,2243,1440,-803
2020-09-11,1557,2867,1310
2020-09-12,2947,7840,4893
2020-09-13,12859,15903,3044
2020-09-14,2085,2823,738
2020-09-15,2066,2413,347
2020-09-16,820,2436,1616
2020-09-17,1990,3750,1760
2020-09-18,3086,4673,1587
2020-09-19,12178,13012,834
2020-09-20,13140,16334,3194
2020-09-21,2247,2875,628
2020-09-22,2214,3484,1270
2020-09-23,2052,3786,1734
2020-09-24,2298,4272,1974
2020-09-25,2335,5506,3171
2020-09-26,13447,17750,4303
2020-09-27,16860,18470,1610
2020-09-28,2594,5268,2674
2020-09-29,2608,4818,2210
2020-09-30,8986,10049,1063
2020-10-01,12365,21992,9627
2020-10-02,14323,22673,8350
2020-10-03,17995,22961,4966
2020-10-04,12932,18831,5899
2020-10-05,2634,18696,16062
2020-10-06,2407,5254,2847
2020-10-07,2600,5769,3169
2020-10-08,3057,5958,2901
2020-10-09,20177,20260,83
2020-10-10,16405,17505,1100
2020-10-11,16264,17571,1307
2020-10-12,2757,5311,2554
2020-10-13,2857,4587,1730
2020-10-14,2933,4696,1763
2020-10-15,4093,4714,621
2020-10-16,2772,5806,3034
2020-10-17,16441,17081,640
2020-10-18,19461,17305,-2156
2020-10-19,3141,4414,1273
2020-10-20,3559,4774,1215
2020-10-21,3093,4711,1618
2020-10-22,2704,4876,2172
2020-10-23,4009,5392,1383
2020-10-24,16500,14083,-2417
2020-10-25,19042,16550,-2492
2020-10-26,4035,5104,1069
2020-10-27,3842,5441,1599
2020-10-28,11655,5446,-6209
2020-10-29,4267,5569,1302
2020-10-30,4856,6722,1866
2020-10-31,20185,15847,-4338
2020-11-01,2763,4881,2118
2020-11-02,3832,2753,-1079
2020-11-03,2520,2423,-97
2020-11-04,2146,2257,111
2020-11-05,3091,3015,-76
2020-11-06,2812,3963,1151
2020-11-07,12821,9476,-3345
2020-11-08,14694,8292,-6402
2020-11-09,1919,1546,-373
2020-11-10,2248,2141,-107
2020-11-11,2747,2501,-246
2020-11-12,2673,2575,-98
2020-11-13,3375,3388,13
2020-11-14,9802,9243,-559
2020-11-15,9447,9431,-16
2020-11-16,1811,2281,470
2020-11-17,1685,2345,660
