일자,방문인원수,counterfactual_visitors,difference
2022-06-19,7232,10547,3315
2022-06-20,1732,2059,327
2022-06-21,1506,1802,296
2022-06-22,1690,1925,235
2022-06-23,430,1152,722
2022-06-24,1439,1862,423
2022-06-25,5193,6273,1080
2022-06-26,18829,7054,-11775
2022-06-27,459,3335,2876
2022-06-28,404,3912,3508
2022-06-29,239,4714,4475
2022-06-30,108,4789,4681
2022-07-01,1188,953,-235
2022-07-02,2745,3104,359
2022-07-03,1965,3171,1206
2022-07-04,516,615,99
2022-07-05,459,591,132
2022-07-06,536,506,-30
2022-07-07,280,767,487
2022-07-08,743,1198,455
2022-07-09,2469,3034,565
2022-07-10,1722,3130,1408
2022-07-11,472,883,411
2022-07-12,711,948,237
2022-07-13,149,83,-66
2022-07-14,753,994,241
2022-07-15,1243,1279,36
2022-07-16,2437,1508,-929
2022-07-17,3223,5628,2405
2022-07-18,5216,971,-4245
2022-07-19,755,1133,378
2022-07-20,774,936,162
2022-07-21,676,1281,605
2022-07-22,756,1743,987
2022-07-23,10918,3305,-7613
2022-07-24,3068,5613,2545
2022-07-25,1208,1171,-37
2022-07-26,833,2096,1263
2022-07-27,1005,1807,802
2022-07-28,1014,1968,954
2022-07-29,854,1120,266
2022-07-30,1277,977,-300
2022-07-31,856,3309,2453
2022-08-01,1417,914,-503
2022-08-02,938,807,-131
2022-08-03,1286,177,-1109
2022-08-04,2637,983,-1654
2022-08-05,1023,902,-121
2022-08-06,1584,1005,-579
2022-08-07,1697,2240,543
2022-08-08,177,0,-177
2022-08-09,69,0,-69
2022-08-10,875,587,-288
2022-08-11,531,0,-531
2022-08-12,1521,1166,-355
2022-08-13,1703,3116,1413
2022-08-14,5632,2084,-3548
2022-08-15,4618,1840,-2778
2022-08-16,1531,813,-718
2022-08-17,1324,944,-380
2022-08-18,1640,1233,-407
2022-08-19,1116,0,-1116
2022-08-20,5437,4863,-574
2022-08-21,4690,5234,544
2022-08-22,1408,620,-788
2022-08-23,1137,750,-387
2022-08-24,1568,1723,155
2022-08-25,803,1962,1159
2022-08-26,1885,4045,2160
2022-08-27,16188,5401,-10787
2022-08-28,14964,14684,-280
2022-08-29,917,2647,1730
2022-08-30,184,4636,4452
2022-08-31,1678,3382,1704
2022-09-01,2141,1995,-146
2022-09-02,2584,2227,-357
2022-09-03,13485,12425,-1060
2022-09-04,790,4803,4013
2022-09-05,55,0,-55
2022-09-06,1340,522,-818
2022-09-07,2223,2223,0
2022-09-08,2057,2351,294
2022-09-09,10663,13261,2598
2022-09-10,13924,15627,1703
2022-09-11,16246,12370,-3876
2022-09-12,14399,12977,-1422
2022-09-13,2526,11124,8598
2022-09-14,1606,1689,83
2022-09-15,2073,1136,-937
2022-09-16,2332,839,-1493
2022-09-17,7960,6489,-1471
2022-09-18,9012,9318,306
2022-09-19,1905,1769,-136
2022-09-20,2651,3061,410
2022-09-21,2964,3115,151
2022-09-22,4536,3375,-1161
2022-09-23,3468,2898,-570
2022-09-24,16093,16533,440
2022-09-25,13925,16717,2792
2022-09-26,2946,4465,1519
2022-09-27,7608,4673,-2935
2022-09-28,4835,4942,107
2022-09-29,2630,5354,2724
2022-09-30,4460,6385,1925
2022-10-01,13785,19320,5535
2022-10-02,12071,7145,-4926
2022-10-03,560,9826,9266
2022-10-04,1571,3479,1908
2022-10-05,3310,5159,1849
2022-10-06,2908,5646,2738
2022-10-07,4548,6210,1662
2022-10-08,17148,19973,2825
2022-10-09,1749,8616,6867
2022-10-10,3701,13898,10197
2022-10-11,2339,4392,2053
2022-10-12,3944,4925,981
2022-10-13,5192,6086,894
2022-10-14,5034,6622,1588
2022-10-15,14951,18660,3709
2022-10-16,13354,18656,5302
2022-10-17,2944,3957,1013
2022-10-18,2905,4327,1422
2022-10-19,3187,4537,1350
2022-10-20,4181,5163,982
2022-10-21,6339,6261,-78
2022-10-22,14033,19470,5437
2022-10-23,15734,18979,3245
2022-10-24,3200,4127,927
2022-10-25,3097,4808,1711
2022-10-26,7256,5716,-1540
2022-10-27,4482,5834,1352
2022-10-28,5649,9084,3435
2022-10-29,16415,22508,6093
2022-10-30,28609,21083,-7526
2022-10-31,3917,4982,1065
2022-11-01,3287,3863,576
2022-11-02,3462,3847,385
2022-11-03,2676,3385,709
2022-11-04,3125,3311,186
2022-11-05,9610,7924,-1686
2022-11-06,11245,9884,-1361
2022-11-07,1770,2662,892
2022-11-08,2388,2954,566
2022-11-09,2375,2901,526
2022-11-10,2211,2911,700
2022-11-11,3204,3672,468
2022-11-12,5797,3031,-2766
2022-11-13,5201,8747,3546
2022-11-14,1544,1941,397
2022-11-15,1053,1444,391
2022-11-16,1225,1972,747
2022-11-17,1760,2223,463
2022-11-18,1789,3000,1211
2022-11-19,8285,9498,1213
2022-11-20,9544,9959,415
2022-11-21,1633,1898,265
2022-11-22,849,2052,1203
2022-11-23,4321,2179,-2142
2022-11-24,1185,2329,1144
2022-11-25,1327,2527,1200
2022-11-26,22632,7450,-15182
2022-11-27,3845,6511,2666
2022-11-28,333,3979,3646
2022-11-29,458,3430,2972
2022-11-30,219,2306,2087
2022-12-01,239,469,230
2022-12-02,350,951,601
2022-12-03,1148,1541,393
2022-12-04,1015,1695,680
2022-12-05,423,528,105
2022-12-06,290,507,217
2022-12-07,413,507,94
2022-12-08,561,857,296
2022-12-09,530,1110,580
2022-12-10,1995,2283,288
2022-12-11,2079,2291,212
2022-12-12,405,454,49
2022-12-13,250,370,120
2022-12-14,142,342,200
2022-12-15,183,581,398
2022-12-16,158,519,361
2022-12-17,423,397,-26
2022-12-18,294,1383,1089
2022-12-19,1591,101,-1490
2022-12-20,331,348,17
2022-12-21,276,706,430
2022-12-22,281,252,-29
2022-12-23,106,535,429
2022-12-24,380,1104,724
2022-12-25,11398,2332,-9066
2022-12-26,325,2564,2239
2022-12-27,345,1236,891
2022-12-28,442,1111,669
2022-12-29,394,1224,830
2022-12-30,2546,1263,-1283
2022-12-31,970,1311,341
