model,covid_mode,covid_weight,MAE,RMSE,MAPE,R2,ActualMean,PredictedMean,Precision@5,Recall@5,NDCG@5,Precision@10,Recall@10,NDCG@10,Precision@20,Recall@20,NDCG@20
baseline,baseline,1.0,3266.3804347826085,4620.771586472093,176.3944131092382,0.7312127175869501,6774.5,7577.597826086957,1.0,0.35714285714285715,0.9702863521932261,0.9,0.6428571428571429,0.9506220536532968,0.55,0.7857142857142857,0.882543610484531
covid_downweight_0.25,downweight,0.25,3160.8478260869565,4376.302640854244,185.09967914910763,0.7589015547473741,6774.5,7859.934782608696,1.0,0.35714285714285715,0.9796314576246343,0.9,0.6428571428571429,0.9601147652199997,0.55,0.7857142857142857,0.89422472968494
covid_counterfactual_downweight_0.25,counterfactual_downweight,0.25,3247.1739130434785,4376.912009525715,191.36628734193323,0.7588344076234379,6774.5,7923.673913043478,1.0,0.35714285714285715,0.9459706233949108,0.9,0.6428571428571429,0.9469867805155653,0.6,0.8571428571428571,0.9071220134281809
