round,step,parameter,reason,depth,learning_rate,iterations,l2_leaf_reg,MAE,RMSE,MAPE,R2,Precision@5,Recall@5,NDCG@5,Precision@10,Recall@10,NDCG@10,Precision@20,Recall@20,NDCG@20
2,12,l2_leaf_reg,depth가 만드는 과적합을 규제로 보정,6,0.03,500,6.0,3050.032608695652,4371.5358397050895,183.02046712816173,0.7594264921345885,1.0,0.35714285714285715,0.9809389335177282,0.9,0.6428571428571429,0.9456500882793069,0.55,0.7857142857142857,0.9065574263302502
2,13,learning_rate,learning_rate와 iterations는 반비례 관계라 먼저 보폭만 확인,6,0.08,500,3.0,3265.0108695652175,4505.178741085689,175.3199495205532,0.7444924330310122,1.0,0.35714285714285715,0.9769151252590059,0.9,0.6428571428571429,0.952408696202046,0.6,0.8571428571428571,0.8918109079764438
2,14,iterations,learning_rate 변화와 연결되는 학습량을 단독 확인,6,0.03,350,3.0,2839.2065217391305,4188.7390457604615,166.32948661135254,0.7791251210747631,1.0,0.35714285714285715,0.9632504220398379,0.9,0.6428571428571429,0.9487193562715389,0.55,0.7857142857142857,0.8951966730893766
2,15,iterations,learning_rate 변화와 연결되는 학습량을 단독 확인,6,0.03,650,3.0,3064.9891304347825,4340.323864644204,196.67025523851643,0.7628495310650659,1.0,0.35714285714285715,0.9893699872871182,1.0,0.7142857142857143,0.9687262921634555,0.55,0.7857142857142857,0.9049389225321498
3,16,depth,트리 깊이를 한 단계씩 바꿔 복잡도와 과적합 균형을 확인,5,0.03,350,3.0,3062.9565217391305,4260.621747340761,196.99853540682457,0.771479232576136,1.0,0.35714285714285715,0.9809389335177282,0.9,0.6428571428571429,0.9610444726473413,0.5,0.7142857142857143,0.8871022859979446
3,17,depth,트리 깊이를 한 단계씩 바꿔 복잡도와 과적합 균형을 확인,7,0.03,350,3.0,3154.0108695652175,4479.173430395972,174.4348679133489,0.7474336599234741,1.0,0.35714285714285715,0.9816442051974019,0.9,0.6428571428571429,0.960834781918299,0.55,0.7857142857142857,0.9050875986050559
3,18,l2_leaf_reg,depth가 만드는 과적합을 규제로 보정,6,0.03,350,1.5,3477.586956521739,4590.836525079062,208.27721532982386,0.7346840429460576,1.0,0.35714285714285715,0.9721301620760282,0.9,0.6428571428571429,0.9495133201620296,0.55,0.7857142857142857,0.8723001988648963
3,19,l2_leaf_reg,depth가 만드는 과적합을 규제로 보정,6,0.03,350,6.0,3428.2065217391305,4648.894187120575,209.29578073733822,0.7279310146210237,1.0,0.35714285714285715,0.965872410453103,0.9,0.6428571428571429,0.9344909958118727,0.5,0.7142857142857143,0.8770182499847126
3,20,learning_rate,learning_rate와 iterations는 반비례 관계라 먼저 보폭만 확인,6,0.08,350,3.0,3320.6195652173915,4656.426591048772,171.46614194706703,0.727048656952618,1.0,0.35714285714285715,0.9835922217891967,0.9,0.6428571428571429,0.9449434883959968,0.5,0.7142857142857143,0.8701978052926209
3,21,iterations,learning_rate 변화와 연결되는 학습량을 단독 확인,6,0.03,650,3.0,3064.9891304347825,4340.323864644204,196.67025523851643,0.7628495310650659,1.0,0.35714285714285715,0.9893699872871182,1.0,0.7142857142857143,0.9687262921634555,0.55,0.7857142857142857,0.9049389225321498
