step,depth,learning_rate,iterations,l2_leaf_reg,MAE,RMSE,MAPE,R2,Precision@5,Recall@5,NDCG@5,Precision@10,Recall@10,NDCG@10,Precision@20,Recall@20,NDCG@20
43,7,0.05,800,8.0,2917.967391304348,4410.366788207273,144.53643455873805,0.7551336360364665,1.0,0.35714285714285715,0.9860581469375251,0.9,0.6428571428571429,0.9442914186334554,0.6,0.8571428571428571,0.9093834322151385
44,5,0.1,1200,2.0,2857.608695652174,4400.793223954063,120.44531473384029,0.7561955429758462,1.0,0.35714285714285715,0.9813239857424131,0.9,0.6428571428571429,0.9447789776387817,0.55,0.7857142857142857,0.8951682382336815
45,9,0.04,400,10.0,3188.8152173913045,4386.525577413672,188.8338855608345,0.7577738389139972,1.0,0.35714285714285715,0.9860581469375251,0.9,0.6428571428571429,0.9623439800262725,0.6,0.8571428571428571,0.9270799264412254
46,6,0.03,1200,2.0,3214.6304347826085,4720.499844572468,140.49010769680223,0.7194852581515604,1.0,0.35714285714285715,0.991740114933199,0.9,0.6428571428571429,0.9613631488915682,0.55,0.7857142857142857,0.8815750317115
47,8,0.05,1000,15.0,3541.6847826086955,4795.819294606683,214.8239033321969,0.7104621564464406,1.0,0.35714285714285715,0.9715645365624784,0.9,0.6428571428571429,0.9446374623276416,0.55,0.7857142857142857,0.8929154208953031
48,7,0.06,400,8.0,3111.217391304348,4495.344127659968,168.69725608507846,0.7456067397456676,1.0,0.35714285714285715,0.9857138613987061,0.9,0.6428571428571429,0.9586652171700467,0.6,0.8571428571428571,0.9123459478298832
49,6,0.06,1000,5.0,2683.6739130434785,4300.818926063106,111.09781585233429,0.7671468965054822,1.0,0.35714285714285715,0.978495572215394,0.9,0.6428571428571429,0.9615824326732643,0.55,0.7857142857142857,0.8884083458287357
50,9,0.1,600,5.0,2747.163043478261,4379.912306795353,150.6928842296029,0.7585036646413628,1.0,0.35714285714285715,0.9816442051974019,0.9,0.6428571428571429,0.9617986313150203,0.55,0.7857142857142857,0.9002571218534725
51,7,0.08,600,5.0,2968.9347826086955,4356.588855575166,146.58758417691132,0.7610687987031519,1.0,0.35714285714285715,0.9786849798212441,0.9,0.6428571428571429,0.9530578150217278,0.55,0.7857142857142857,0.881668129663859
52,8,0.05,800,10.0,3043.8695652173915,4400.41622537252,180.25008478563433,0.7562373127172737,1.0,0.35714285714285715,0.9800318934030322,0.9,0.6428571428571429,0.9567544975005984,0.6,0.8571428571428571,0.9096497885279496
53,10,0.03,600,8.0,3582.8695652173915,4862.353180973359,227.67572034221917,0.702372733117385,1.0,0.35714285714285715,0.9700662906884974,0.9,0.6428571428571429,0.9434371393450602,0.55,0.7857142857142857,0.8927626416579625
54,6,0.05,600,10.0,3590.75,4940.265790024557,187.7076158914302,0.6927581693559196,1.0,0.35714285714285715,0.9905284365423528,0.8,0.5714285714285714,0.9255307496713516,0.55,0.7857142857142857,0.8797383319905109
55,5,0.02,1000,5.0,2757.4239130434785,4278.98349494363,136.07847713226346,0.7695053035977041,1.0,0.35714285714285715,0.9905284365423528,0.9,0.6428571428571429,0.960806372401541,0.5,0.7142857142857143,0.8903205332539391
56,7,0.05,1000,2.0,2632.663043478261,4055.1935795213653,128.87474889275794,0.7929844849330431,1.0,0.35714285714285715,0.9974594721952683,0.9,0.6428571428571429,0.9634479803362298,0.6,0.8571428571428571,0.9272636685181987
57,6,0.02,800,10.0,3329.086956521739,4603.917138887181,185.44933162409262,0.7331699660354765,1.0,0.35714285714285715,0.9655382830279855,0.9,0.6428571428571429,0.9554530563261501,0.5,0.7142857142857143,0.8793612319469177
58,9,0.03,400,15.0,3351.445652173913,4562.138341830506,225.4955280179155,0.7379907550760094,1.0,0.35714285714285715,0.9979658789064407,0.9,0.6428571428571429,0.9638080711670585,0.55,0.7857142857142857,0.9082241948269106
59,9,0.1,1200,10.0,3164.945652173913,4460.517191936964,191.32978876577482,0.7495332102430075,1.0,0.35714285714285715,0.9880391389189234,0.9,0.6428571428571429,0.9411497616809187,0.5,0.7142857142857143,0.883746632422105
60,7,0.08,1000,8.0,2873.8260869565215,4448.916445998762,130.05541289011484,0.7508343253734724,1.0,0.35714285714285715,0.9786849798212441,0.9,0.6428571428571429,0.9525003420132474,0.6,0.8571428571428571,0.8931331223373092
61,5,0.08,800,5.0,3494.945652173913,4777.317417392499,199.52576401988208,0.7126918735733679,1.0,0.35714285714285715,0.9786849798212441,0.9,0.6428571428571429,0.9530578150217278,0.55,0.7857142857142857,0.8852574838317198
62,5,0.06,400,8.0,3134.0652173913045,4660.671226616258,151.35722989202307,0.7265508043541677,1.0,0.35714285714285715,0.978495572215394,0.9,0.6428571428571429,0.9610753629517431,0.55,0.7857142857142857,0.8874617485012078
63,8,0.02,400,15.0,3808.771739130435,4899.137742456852,256.03951638302016,0.6978524935538049,1.0,0.35714285714285715,0.9963010229400336,0.9,0.6428571428571429,0.9464701264117743,0.5,0.7142857142857143,0.8845106804991782
64,7,0.1,1200,15.0,3358.804347826087,4688.880247805532,172.69760528856034,0.723230648212996,1.0,0.35714285714285715,0.9786849798212441,0.8,0.5714285714285714,0.9180956107983314,0.55,0.7857142857142857,0.8614655297262985
65,9,0.04,800,10.0,3150.021739130435,4471.585369574342,181.31599524604408,0.7482886683042944,1.0,0.35714285714285715,0.9867634186171989,0.9,0.6428571428571429,0.9628314886304623,0.6,0.8571428571428571,0.9262975949092153
66,10,0.08,1200,3.0,3464.336956521739,5024.765117807044,209.61944603325566,0.6821580289372583,1.0,0.35714285714285715,0.9963010229400336,0.9,0.6428571428571429,0.9430964366235807,0.6,0.8571428571428571,0.9050949332085974
67,6,0.08,1200,10.0,3109.8695652173915,4747.9434335116175,122.04453830764824,0.7162141176238187,1.0,0.35714285714285715,0.9646016786298508,0.9,0.6428571428571429,0.9457708707648987,0.55,0.7857142857142857,0.8828296515079893
68,6,0.05,400,3.0,2560.0108695652175,4181.511013819723,109.07885971047624,0.7798867408466779,1.0,0.35714285714285715,0.9905284365423528,0.9,0.6428571428571429,0.9614793467204557,0.55,0.7857142857142857,0.9054731024547824
69,7,0.08,1000,5.0,2944.2608695652175,4360.976934826296,148.64089837778963,0.7605872398067917,1.0,0.35714285714285715,0.9762192345882158,0.9,0.6428571428571429,0.9513044965328846,0.6,0.8571428571428571,0.8973979254392943
70,9,0.1,800,15.0,3072.5,4443.186251466102,172.85574452534766,0.7514757616975377,1.0,0.35714285714285715,0.9712425382722156,0.9,0.6428571428571429,0.9518090390078731,0.55,0.7857142857142857,0.8912217599612703
71,10,0.05,400,2.0,3410.358695652174,4800.527324974422,224.67559196597043,0.7098934018807257,1.0,0.35714285714285715,0.9586649654307542,0.9,0.6428571428571429,0.9423584293324601,0.6,0.8571428571428571,0.8898142069903304
72,8,0.08,800,5.0,3284.5978260869565,4478.360655758252,214.28240562132882,0.7475253111596255,1.0,0.35714285714285715,0.9860581469375251,0.9,0.6428571428571429,0.9623439800262725,0.65,0.9285714285714286,0.937243257430599
73,5,0.1,1200,10.0,3481.521739130435,4768.768303287001,197.29036944128862,0.7137192418653237,1.0,0.35714285714285715,0.9786849798212441,0.9,0.6428571428571429,0.9525003420132474,0.55,0.7857142857142857,0.8833729580589668
74,8,0.03,400,2.0,2942.891304347826,4408.719581446078,158.19054732671154,0.7553165098099555,1.0,0.35714285714285715,0.9845021830078599,0.9,0.6428571428571429,0.9578036285124898,0.55,0.7857142857142857,0.898486526037531
75,10,0.04,800,15.0,3846.3695652173915,5025.394888226068,267.3086233560956,0.6820783515750606,1.0,0.35714285714285715,0.9808431360154806,0.9,0.6428571428571429,0.9606966546996293,0.55,0.7857142857142857,0.8984056865600195
76,6,0.04,400,8.0,3055.282608695652,4326.848700141137,158.80804336732749,0.7643197812188134,1.0,0.35714285714285715,0.9860581469375251,0.9,0.6428571428571429,0.9605222621146201,0.55,0.7857142857142857,0.9053423259250686
77,10,0.05,1200,15.0,4038.8804347826085,5286.542100507172,271.81001687911527,0.6481779097033982,1.0,0.35714285714285715,0.9638596628803353,0.9,0.6428571428571429,0.9317070240541618,0.6,0.8571428571428571,0.9148349918534701
78,7,0.05,800,15.0,3294.2391304347825,4558.910539191115,202.68762389453758,0.7383613773102651,1.0,0.35714285714285715,0.9845021830078599,0.9,0.6428571428571429,0.9571942561121662,0.6,0.8571428571428571,0.9014084285276471
79,6,0.1,1200,10.0,3100.4239130434785,4538.686267259359,143.64691067581697,0.7406775945827455,1.0,0.35714285714285715,0.9646016786298508,0.9,0.6428571428571429,0.9534075495114025,0.5,0.7142857142857143,0.8592752209616203
80,9,0.04,600,5.0,3028.163043478261,4351.40475943514,167.30851839750093,0.7616370898143882,1.0,0.35714285714285715,0.9845021830078599,0.9,0.6428571428571429,0.9426636530250259,0.55,0.7857142857142857,0.902416490164106
81,10,0.04,1200,8.0,3214.3804347826085,4509.648775247021,194.84212469630336,0.7439851527531588,1.0,0.35714285714285715,0.9800318934030322,0.9,0.6428571428571429,0.9572615672221195,0.65,0.9285714285714286,0.9477647096071317
82,10,0.03,1000,2.0,3434.4021739130435,4936.14119772855,217.24307884763462,0.6932709831735205,1.0,0.35714285714285715,0.959370237110428,0.9,0.6428571428571429,0.9272489277316595,0.6,0.8571428571428571,0.909380281903514
83,7,0.06,600,10.0,3032.836956521739,4433.983839030382,160.23466377118226,0.752504147208447,1.0,0.35714285714285715,0.9655382830279855,0.9,0.6428571428571429,0.9564451505710454,0.6,0.8571428571428571,0.9085536629153147
84,5,0.08,1000,5.0,3499.413043478261,4788.67619675744,196.29958386842662,0.7113240141562818,1.0,0.35714285714285715,0.9781359513218071,0.9,0.6428571428571429,0.9519944427792684,0.55,0.7857142857142857,0.8902794167918403
85,9,0.08,800,15.0,2883.467391304348,4263.279449325774,163.1887267374099,0.7711940490713153,1.0,0.35714285714285715,0.9762192345882158,0.9,0.6428571428571429,0.9521682778137786,0.55,0.7857142857142857,0.8980492084392285
86,5,0.02,400,2.0,3004.586956521739,4316.256293514595,190.6541187647403,0.7654722897458924,1.0,0.35714285714285715,0.9974594721952683,0.9,0.6428571428571429,0.9629409106147087,0.55,0.7857142857142857,0.9067398247433295
87,5,0.08,600,8.0,3002.25,4501.883140999707,140.99963614755973,0.744866110890295,1.0,0.35714285714285715,0.991740114933199,0.8,0.5714285714285714,0.930433333369332,0.55,0.7857142857142857,0.8951145925202474
88,5,0.04,800,10.0,3118.0760869565215,4599.683737946603,160.19604884053453,0.7336604523485961,1.0,0.35714285714285715,0.9905284365423528,0.8,0.5714285714285714,0.9289623723114517,0.55,0.7857142857142857,0.888411819962283
89,6,0.08,800,5.0,2828.663043478261,4439.951543262802,94.77666653407653,0.7518374889445325,1.0,0.35714285714285715,0.9706279321643437,0.9,0.6428571428571429,0.9497681066105246,0.55,0.7857142857142857,0.8863451851027123
90,6,0.04,800,15.0,3203.445652173913,4566.663441631147,175.33382590692835,0.7374707331524042,1.0,0.35714285714285715,0.991740114933199,0.9,0.6428571428571429,0.9623409353780127,0.55,0.7857142857142857,0.8896720081789602
91,6,0.04,400,10.0,2949.532608695652,4231.308001336456,161.40092984208712,0.7746129326473156,1.0,0.35714285714285715,0.9905284365423528,0.9,0.6428571428571429,0.9614470452495624,0.55,0.7857142857142857,0.9063667264081953
92,7,0.02,1200,15.0,3150.445652173913,4498.96589929769,178.41231022485724,0.7451966597058792,1.0,0.35714285714285715,0.9905284365423528,0.9,0.6428571428571429,0.9620887191207789,0.6,0.8571428571428571,0.9183145291316127
93,7,0.02,600,2.0,3141.6195652173915,4376.809440726747,182.2466064893338,0.7588457104667555,1.0,0.35714285714285715,0.9800318934030322,0.9,0.6428571428571429,0.9575518196964622,0.6,0.8571428571428571,0.9228639566025403
94,8,0.1,1000,15.0,3294.0652173913045,4526.46086195193,202.8548772040372,0.7420727347339202,1.0,0.35714285714285715,0.9715645365624784,0.9,0.6428571428571429,0.960477580338384,0.6,0.8571428571428571,0.915436767865847
95,8,0.05,800,2.0,3264.413043478261,4610.606717596701,203.63730060469393,0.732393984511217,1.0,0.35714285714285715,0.9860581469375251,0.9,0.6428571428571429,0.9623439800262725,0.55,0.7857142857142857,0.8890771296560811
96,6,0.03,800,5.0,3203.0108695652175,4577.276341507222,162.13514365481814,0.7362490821978134,1.0,0.35714285714285715,0.9845021830078599,0.9,0.6428571428571429,0.9578036285124898,0.55,0.7857142857142857,0.8984730391647161
97,6,0.02,400,3.0,3094.9021739130435,4346.417281483982,179.12706916421845,0.7621831886124704,1.0,0.35714285714285715,0.9905284365423528,0.9,0.6428571428571429,0.9614157448018642,0.5,0.7142857142857143,0.8901060544457495
98,7,0.05,1000,10.0,2916.913043478261,4423.70499104835,141.13945172491,0.7536503054376491,1.0,0.35714285714285715,0.9905284365423528,0.9,0.6428571428571429,0.9614157448018642,0.55,0.7857142857142857,0.9027814125216347
99,7,0.04,1200,2.0,2952.7065217391305,4321.515290054394,160.5289762036077,0.7649004368631521,1.0,0.35714285714285715,0.9860581469375251,0.9,0.6428571428571429,0.9623439800262725,0.6,0.8571428571428571,0.8988313737993712
100,10,0.1,1200,5.0,3654.4565217391305,4961.072223692742,228.42111868254747,0.6901647589607539,1.0,0.35714285714285715,0.9678204270448977,0.9,0.6428571428571429,0.9326299231557995,0.6,0.8571428571428571,0.9073288209344195
