지점,지점명,일시,평균기온(°C),일강수량(mm)
108,서울,2019-01-01,-5,
108,서울,2019-01-02,-4.9,
108,서울,2019-01-03,-3.5,
108,서울,2019-01-04,-1.1,
108,서울,2019-01-05,-2.8,
108,서울,2019-01-06,-2.8,
108,서울,2019-01-07,-1.9,
108,서울,2019-01-08,-3.5,
108,서울,2019-01-09,-4.7,
108,서울,2019-01-10,-.6,
108,서울,2019-01-11,2.4,
108,서울,2019-01-12,2.8,
108,서울,2019-01-13,1.2,
108,서울,2019-01-14,1.4,
108,서울,2019-01-15,-1.7,0
108,서울,2019-01-16,-5.2,0
108,서울,2019-01-17,-.3,0
108,서울,2019-01-18,.6,
108,서울,2019-01-19,3.6,
108,서울,2019-01-20,-1.4,
108,서울,2019-01-21,-1.2,0
108,서울,2019-01-22,1.7,
108,서울,2019-01-23,2,
108,서울,2019-01-24,.1,
108,서울,2019-01-25,-1.2,
108,서울,2019-01-26,-2.5,
108,서울,2019-01-27,-.1,
108,서울,2019-01-28,1.2,0
108,서울,2019-01-29,-.2,
108,서울,2019-01-30,1.8,
108,서울,2019-01-31,-2,
108,서울,2019-02-01,-2.1,.3
108,서울,2019-02-02,1.4,0
108,서울,2019-02-03,3.3,16
108,서울,2019-02-04,-.6,
108,서울,2019-02-05,2.8,
108,서울,2019-02-06,5.1,
108,서울,2019-02-07,-2.1,.5
108,서울,2019-02-08,-6.1,
108,서울,2019-02-09,-5.4,
108,서울,2019-02-10,-5,
108,서울,2019-02-11,-3,
108,서울,2019-02-12,-.6,0
108,서울,2019-02-13,-2.1,
108,서울,2019-02-14,-.5,
108,서울,2019-02-15,-.8,2.2
108,서울,2019-02-16,-2.7,.2
108,서울,2019-02-17,-1.8,
108,서울,2019-02-18,.9,
108,서울,2019-02-19,1.4,4.6
108,서울,2019-02-20,1.7,0
108,서울,2019-02-21,2.4,
108,서울,2019-02-22,4,
108,서울,2019-02-23,6.8,
108,서울,2019-02-24,6.3,
108,서울,2019-02-25,4.7,
108,서울,2019-02-26,5.2,
108,서울,2019-02-27,7.8,
108,서울,2019-02-28,6.6,
108,서울,2019-03-01,6.6,
108,서울,2019-03-02,7.8,
108,서울,2019-03-03,9.4,
108,서울,2019-03-04,9.9,
108,서울,2019-03-05,8.4,
108,서울,2019-03-06,8.4,
108,서울,2019-03-07,7,
108,서울,2019-03-08,6.1,
108,서울,2019-03-09,7.2,
108,서울,2019-03-10,10.1,
108,서울,2019-03-11,6.6,0
108,서울,2019-03-12,3.9,0
108,서울,2019-03-13,3.5,0
108,서울,2019-03-14,5,0
108,서울,2019-03-15,5.5,3.5
108,서울,2019-03-16,4.3,
108,서울,2019-03-17,6.3,
108,서울,2019-03-18,7.1,
108,서울,2019-03-19,10,
108,서울,2019-03-20,10.3,16.5
108,서울,2019-03-21,7.1,3.3
108,서울,2019-03-22,3.3,
108,서울,2019-03-23,3.3,1.7
108,서울,2019-03-24,4.3,
108,서울,2019-03-25,7.3,
108,서울,2019-03-26,11.4,
108,서울,2019-03-27,11.6,
108,서울,2019-03-28,9.4,
108,서울,2019-03-29,9.2,
108,서울,2019-03-30,5.2,1.8
108,서울,2019-03-31,4.4,0
108,서울,2019-04-01,5.5,
108,서울,2019-04-02,6.7,
