"사용일자","노선명","역명",승차총승객수,하차총승객수,"등록일자"
"20200101","1호선","종각","20427.0","16301.0","20200104"
"20200101","1호선","시청","12126.0","10516.0","20200104"
"20200101","우이신설선","신설동","892.0","828.0","20200104"
"20200101","우이신설선","보문","917.0","855.0","20200104"
"20200101","우이신설선","성신여대입구(돈암)","2010.0","2363.0","20200104"
"20200101","우이신설선","정릉","2096.0","1989.0","20200104"
"20200101","우이신설선","북한산보국문","2945.0","2849.0","20200104"
"20200101","우이신설선","솔샘","2477.0","2272.0","20200104"
"20200101","우이신설선","삼양사거리","1288.0","1316.0","20200104"
"20200101","우이신설선","삼양","1113.0","1188.0","20200104"
"20200101","우이신설선","화계","1789.0","1690.0","20200104"
"20200101","우이신설선","가오리","2041.0","1974.0","20200104"
"20200101","우이신설선","4.19민주묘지","1504.0","1352.0","20200104"
"20200101","우이신설선","솔밭공원","1201.0","1209.0","20200104"
"20200101","우이신설선","북한산우이","3048.0","2766.0","20200104"
"20200101","9호선2~3단계","중앙보훈병원","2911.0","2864.0","20200104"
"20200101","9호선2~3단계","둔촌오륜","333.0","354.0","20200104"
"20200101","9호선2~3단계","올림픽공원(한국체대)","2371.0","2475.0","20200104"
"20200101","9호선2~3단계","한성백제","1482.0","1185.0","20200104"
"20200101","9호선2~3단계","송파나루","2060.0","2100.0","20200104"
"20200101","9호선2~3단계","석촌","3354.0","2750.0","20200104"
"20200101","9호선2~3단계","석촌고분","2533.0","2525.0","20200104"
"20200101","9호선2~3단계","삼전","2921.0","3037.0","20200104"
"20200101","9호선2~3단계","종합운동장","2212.0","1780.0","20200104"
"20200101","9호선2~3단계","봉은사","10651.0","10456.0","20200104"
"20200101","9호선2~3단계","삼성중앙","1724.0","1713.0","20200104"
"20200101","9호선2~3단계","선정릉","2246.0","2396.0","20200104"
"20200101","9호선2~3단계","언주","3261.0","2794.0","20200104"
"20200101","공항철도 1호선","영종","2084.0","2010.0","20200104"
"20200101","공항철도 1호선","인천공항2터미널","5990.0","5801.0","20200104"
"20200101","공항철도 1호선","인천공항1터미널","16835.0","17571.0","20200104"
"20200101","공항철도 1호선","공항화물청사","1344.0","1439.0","20200104"
"20200101","공항철도 1호선","운서","5812.0","6205.0","20200104"
"20200101","공항철도 1호선","청라국제도시","2909.0","2894.0","20200104"
"20200101","공항철도 1호선","검암","3749.0","4134.0","20200104"
"20200101","공항철도 1호선","계양","4539.0","4675.0","20200104"
"20200101","공항철도 1호선","김포공항","8633.0","4690.0","20200104"
"20200101","공항철도 1호선","마곡나루","1495.0","1764.0","20200104"
"20200101","공항철도 1호선","디지털미디어시티","3420.0","3501.0","20200104"
"20200101","공항철도 1호선","홍대입구","10405.0","9279.0","20200104"
"20200101","공항철도 1호선","공덕","1281.0","1964.0","20200104"
"20200101","공항철도 1호선","서울역","14369.0","10789.0","20200104"
"20200101","9호선","신논현","15752.0","14954.0","20200104"
"20200101","9호선","사평","1204.0","1213.0","20200104"
"20200101","9호선","고속터미널","9488.0","13501.0","20200104"
"20200101","9호선","신반포","1097.0","1057.0","20200104"
"20200101","9호선","구반포","987.0","1079.0","20200104"
"20200101","9호선","동작(현충원)","1417.0","1414.0","20200104"
"20200101","9호선","흑석(중앙대입구)","4011.0","4288.0","20200104"
"20200101","9호선","노들","2065.0","1990.0","20200104"
"20200101","9호선","노량진","16032.0","18069.0","20200104"
"20200101","9호선","샛강","1598.0","1611.0","20200104"
"20200101","9호선","여의도","4615.0","4455.0","20200104"
"20200101","9호선","국회의사당","4106.0","3571.0","20200104"
"20200101","9호선","당산","7609.0","7744.0","20200104"
"20200101","9호선","선유도","2631.0","2652.0","20200104"
"20200101","9호선","신목동","1446.0","1378.0","20200104"
"20200101","9호선","염창","7396.0","7578.0","20200104"
"20200101","9호선","등촌","4116.0","4258.0","20200104"
"20200101","9호선","증미","3161.0","3343.0","20200104"
"20200101","9호선","가양","8940.0","9185.0","20200104"
"20200101","9호선","양천향교","3694.0","4075.0","20200104"
"20200101","9호선","마곡나루","4194.0","4453.0","20200104"
"20200101","9호선","신방화","3132.0","3107.0","20200104"
"20200101","9호선","공항시장","1543.0","1815.0","20200104"
"20200101","9호선","김포공항","7514.0","10298.0","20200104"
"20200101","9호선","개화","1120.0","940.0","20200104"
"20200101","8호선","모란","2542.0","2103.0","20200104"
"20200101","8호선","수진","3261.0","3118.0","20200104"
"20200101","8호선","신흥","3062.0","3257.0","20200104"
"20200101","8호선","단대오거리","4779.0","5044.0","20200104"
"20200101","8호선","남한산성입구(성남법원.검찰청)","5961.0","5950.0","20200104"
"20200101","8호선","산성","3041.0","3023.0","20200104"
"20200101","8호선","복정","4130.0","3672.0","20200104"
"20200101","8호선","장지","10784.0","10821.0","20200104"
"20200101","8호선","문정","4346.0","4645.0","20200104"
"20200101","8호선","가락시장","3156.0","3551.0","20200104"
"20200101","8호선","송파","4221.0","4117.0","20200104"
"20200101","8호선","석촌","3771.0","4422.0","20200104"
"20200101","8호선","잠실(송파구청)","12712.0","13225.0","20200104"
"20200101","8호선","몽촌토성(평화의문)","3566.0","3439.0","20200104"
"20200101","8호선","강동구청","4406.0","4486.0","20200104"
"20200101","8호선","천호(풍납토성)","9229.0","10239.0","20200104"
"20200101","8호선","암사","8493.0","8171.0","20200104"
"20200101","7호선","부평구청","4647.0","3983.0","20200104"
"20200101","7호선","굴포천","4424.0","4720.0","20200104"
"20200101","7호선","삼산체육관","2094.0","2043.0","20200104"
"20200101","7호선","상동","7062.0","6914.0","20200104"
"20200101","7호선","부천시청","5832.0","5755.0","20200104"
"20200101","7호선","신중동","5575.0","5614.0","20200104"
"20200101","7호선","춘의","3384.0","3295.0","20200104"
"20200101","7호선","부천종합운동장","2195.0","1906.0","20200104"
"20200101","7호선","까치울","3294.0","3282.0","20200104"
"20200101","7호선","온수(성공회대입구)","3687.0","4049.0","20200104"
"20200101","7호선","천왕","3948.0","4009.0","20200104"
"20200101","7호선","광명사거리","13125.0","13078.0","20200104"
"20200101","7호선","철산","10109.0","10483.0","20200104"
"20200101","7호선","가산디지털단지","11215.0","10506.0","20200104"
"20200101","7호선","남구로","7947.0","7748.0","20200104"
"20200101","7호선","대림(구로구청)","8976.0","8590.0","20200104"
"20200101","7호선","신풍","5497.0","5349.0","20200104"
"20200101","7호선","보라매","3585.0","3783.0","20200104"
"20200101","7호선","신대방삼거리","7029.0","7086.0","20200104"
"20200101","7호선","장승배기","4565.0","4692.0","20200104"
"20200101","7호선","상도","4627.0","5089.0","20200104"
"20200101","7호선","숭실대입구(살피재)","5030.0","5654.0","20200104"
"20200101","7호선","남성","5026.0","5232.0","20200104"
"20200101","7호선","이수","7439.0","7441.0","20200104"
"20200101","7호선","내방","4137.0","4217.0","20200104"
"20200101","7호선","고속터미널","12492.0","8223.0","20200104"
"20200101","7호선","반포","2709.0","2716.0","20200104"
"20200101","7호선","논현","5385.0","5505.0","20200104"
"20200101","7호선","학동","4954.0","4441.0","20200104"
"20200101","7호선","강남구청","3549.0","3802.0","20200104"
"20200101","7호선","청담","5780.0","6240.0","20200104"
"20200101","7호선","뚝섬유원지","4087.0","3983.0","20200104"
"20200101","7호선","건대입구","8665.0","9179.0","20200104"
"20200101","7호선","어린이대공원(세종대)","5557.0","5607.0","20200104"
"20200101","7호선","군자(능동)","7162.0","5506.0","20200104"
"20200101","7호선","중곡","4468.0","4313.0","20200104"
"20200101","7호선","용마산","3000.0","3095.0","20200104"
"20200101","7호선","사가정","8084.0","8016.0","20200104"
"20200101","7호선","면목","7131.0","7299.0","20200104"
"20200101","7호선","상봉(시외버스터미널)","8539.0","8004.0","20200104"
"20200101","7호선","중화","5154.0","5209.0","20200104"
"20200101","7호선","먹골","4750.0","4810.0","20200104"
"20200101","7호선","태릉입구","4074.0","3803.0","20200104"
"20200101","7호선","공릉(서울과학기술대)","5622.0","5847.0","20200104"
"20200101","7호선","하계","8542.0","8370.0","20200104"
"20200101","7호선","중계","6414.0","6157.0","20200104"
"20200101","7호선","노원","9371.0","9960.0","20200104"
"20200101","7호선","마들","5578.0","5435.0","20200104"
"20200101","7호선","수락산","6448.0","6564.0","20200104"
"20200101","7호선","도봉산","4028.0","5811.0","20200104"
"20200101","7호선","장암","919.0","524.0","20200104"
"20200101","6호선","봉화산(서울의료원)","3818.0","3883.0","20200104"
"20200101","6호선","화랑대(서울여대입구)","4859.0","4226.0","20200104"
"20200101","6호선","태릉입구","2554.0","3063.0","20200104"
"20200101","6호선","석계","6045.0","6302.0","20200104"
"20200101","6호선","돌곶이","3885.0","4020.0","20200104"
"20200101","6호선","상월곡(한국과학기술연구원)","2571.0","2547.0","20200104"
"20200101","6호선","월곡(동덕여대)","5348.0","5454.0","20200104"
"20200101","6호선","고려대(종암)","3752.0","3921.0","20200104"
"20200101","6호선","안암(고대병원앞)","5032.0","5115.0","20200104"
"20200101","6호선","보문","3492.0","3441.0","20200104"
"20200101","6호선","창신","1357.0","1310.0","20200104"
"20200101","6호선","동묘앞","5027.0","4467.0","20200104"
"20200101","6호선","신당","4246.0","3630.0","20200104"
"20200101","6호선","청구","1556.0","1656.0","20200104"
"20200101","6호선","약수","1466.0","1595.0","20200104"
"20200101","6호선","버티고개","1059.0","1194.0","20200104"
"20200101","6호선","한강진","3996.0","4340.0","20200104"
"20200101","6호선","이태원","18496.0","11098.0","20200104"
"20200101","6호선","녹사평(용산구청)","3579.0","3009.0","20200104"
"20200101","6호선","삼각지","2980.0","2411.0","20200104"
"20200101","6호선","효창공원앞","2820.0","2511.0","20200104"
"20200101","6호선","공덕","6602.0","6518.0","20200104"
"20200101","6호선","대흥(서강대앞)","3117.0","3449.0","20200104"
"20200101","6호선","광흥창(서강)","3525.0","3510.0","20200104"
"20200101","6호선","상수","6403.0","6232.0","20200104"
"20200101","6호선","합정","7952.0","7259.0","20200104"
"20200101","6호선","망원","7081.0","7772.0","20200104"
"20200101","6호선","마포구청","6325.0","5723.0","20200104"
"20200101","6호선","월드컵경기장(성산)","5356.0","5405.0","20200104"
"20200101","6호선","디지털미디어시티","4788.0","5061.0","20200104"
"20200101","6호선","증산(명지대앞)","5168.0","5443.0","20200104"
"20200101","6호선","새절(신사)","6152.0","6276.0","20200104"
"20200101","6호선","구산","3408.0","2705.0","20200104"
"20200101","6호선","독바위","1432.0","1778.0","20200104"
"20200101","6호선","불광","3146.0","2850.0","20200104"
"20200101","6호선","역촌","1906.0","2284.0","20200104"
"20200101","6호선","응암","8753.0","9341.0","20200104"
"20200101","5호선","마천","2513.0","2886.0","20200104"
"20200101","5호선","거여","3236.0","3339.0","20200104"
"20200101","5호선","개롱","2618.0","2800.0","20200104"
"20200101","5호선","오금","1239.0","1267.0","20200104"
"20200101","5호선","방이","3212.0","3249.0","20200104"
"20200101","5호선","올림픽공원(한국체대)","1723.0","1529.0","20200104"
"20200101","5호선","둔촌동","3690.0","3919.0","20200104"
"20200101","5호선","상일동","5804.0","5654.0","20200104"
"20200101","5호선","고덕","3733.0","3855.0","20200104"
