"사용일자","노선명","역명",승차총승객수,하차총승객수,"등록일자"
"20180101","1호선","서울역","40213.0","34505.0","20180104"
"20180101","우이신설선","신설동","699.0","809.0","20180104"
"20180101","우이신설선","보문","754.0","803.0","20180104"
"20180101","우이신설선","성신여대입구(돈암)","2228.0","2276.0","20180104"
"20180101","우이신설선","정릉","1844.0","1685.0","20180104"
"20180101","우이신설선","북한산보국문","2706.0","2637.0","20180104"
"20180101","우이신설선","솔샘","2242.0","2128.0","20180104"
"20180101","우이신설선","삼양사거리","1141.0","1170.0","20180104"
"20180101","우이신설선","삼양","1079.0","1206.0","20180104"
"20180101","우이신설선","화계","1492.0","1418.0","20180104"
"20180101","우이신설선","가오리","1783.0","1796.0","20180104"
"20180101","우이신설선","4.19민주묘지","1393.0","1347.0","20180104"
"20180101","우이신설선","솔밭공원","1150.0","1210.0","20180104"
"20180101","우이신설선","북한산우이","3317.0","3038.0","20180104"
"20180101","9호선2단계","종합운동장","3222.0","2244.0","20180104"
"20180101","9호선2단계","봉은사","6897.0","6215.0","20180104"
"20180101","9호선2단계","삼성중앙","1256.0","1445.0","20180104"
"20180101","9호선2단계","선정릉","1742.0","1961.0","20180104"
"20180101","9호선2단계","언주","2821.0","2513.0","20180104"
"20180101","공항철도 1호선","영종","1266.0","1370.0","20180104"
"20180101","공항철도 1호선","인천공항1터미널","18637.0","20381.0","20180104"
"20180101","공항철도 1호선","공항화물청사","1250.0","1432.0","20180104"
"20180101","공항철도 1호선","운서","4396.0","5073.0","20180104"
"20180101","공항철도 1호선","청라국제도시","2525.0","2557.0","20180104"
"20180101","공항철도 1호선","검암","4879.0","5497.0","20180104"
"20180101","공항철도 1호선","계양","5091.0","5345.0","20180104"
"20180101","공항철도 1호선","김포공항","8415.0","5101.0","20180104"
"20180101","공항철도 1호선","디지털미디어시티","3116.0","3234.0","20180104"
"20180101","공항철도 1호선","홍대입구","7222.0","6487.0","20180104"
"20180101","공항철도 1호선","공덕","1058.0","1450.0","20180104"
"20180101","공항철도 1호선","서울역","13232.0","9340.0","20180104"
"20180101","9호선","신논현","12308.0","12195.0","20180104"
"20180101","9호선","사평","948.0","1006.0","20180104"
"20180101","9호선","고속터미널","9478.0","14869.0","20180104"
"20180101","9호선","신반포","1196.0","1197.0","20180104"
"20180101","9호선","구반포","1005.0","1002.0","20180104"
"20180101","9호선","동작(현충원)","1321.0","1200.0","20180104"
"20180101","9호선","흑석(중앙대입구)","3565.0","4252.0","20180104"
"20180101","9호선","노들","2025.0","1984.0","20180104"
"20180101","9호선","노량진","15084.0","18222.0","20180104"
"20180101","9호선","샛강","1366.0","1423.0","20180104"
"20180101","9호선","여의도","4843.0","4527.0","20180104"
"20180101","9호선","국회의사당","3597.0","3035.0","20180104"
"20180101","9호선","당산","7261.0","7573.0","20180104"
"20180101","9호선","선유도","2149.0","2337.0","20180104"
"20180101","9호선","신목동","1478.0","1435.0","20180104"
"20180101","9호선","염창","6852.0","7021.0","20180104"
"20180101","9호선","등촌","4181.0","4609.0","20180104"
"20180101","9호선","증미","2633.0","3097.0","20180104"
"20180101","9호선","가양","8606.0","9313.0","20180104"
"20180101","9호선","양천향교","3125.0","3672.0","20180104"
"20180101","9호선","마곡나루","2310.0","2677.0","20180104"
"20180101","9호선","신방화","3457.0","3715.0","20180104"
"20180101","9호선","공항시장","1468.0","1782.0","20180104"
"20180101","9호선","김포공항","7976.0","9592.0","20180104"
"20180101","9호선","개화","2354.0","2092.0","20180104"
"20180101","8호선","모란","2488.0","2031.0","20180104"
"20180101","8호선","수진","2724.0","2518.0","20180104"
"20180101","8호선","신흥","2819.0","3028.0","20180104"
"20180101","8호선","단대오거리","5176.0","5200.0","20180104"
"20180101","8호선","남한산성입구(성남법원.검찰청)","6024.0","5988.0","20180104"
"20180101","8호선","산성","3044.0","3101.0","20180104"
"20180101","8호선","복정","4172.0","3534.0","20180104"
"20180101","8호선","장지","10579.0","10615.0","20180104"
"20180101","8호선","문정","3055.0","3230.0","20180104"
"20180101","8호선","가락시장","2987.0","3457.0","20180104"
"20180101","8호선","송파","2149.0","2210.0","20180104"
"20180101","8호선","석촌","3722.0","4055.0","20180104"
"20180101","8호선","잠실(송파구청)","10875.0","10885.0","20180104"
"20180101","8호선","몽촌토성(평화의문)","4438.0","4142.0","20180104"
"20180101","8호선","강동구청","4098.0","4371.0","20180104"
"20180101","8호선","천호(풍납토성)","9205.0","10213.0","20180104"
"20180101","8호선","암사","8021.0","7997.0","20180104"
"20180101","7호선","부평구청","4747.0","3946.0","20180104"
"20180101","7호선","굴포천","4530.0","4659.0","20180104"
"20180101","7호선","삼산체육관","2210.0","2034.0","20180104"
"20180101","7호선","상동","7360.0","7037.0","20180104"
"20180101","7호선","부천시청","5594.0","5598.0","20180104"
"20180101","7호선","신중동","5614.0","5658.0","20180104"
"20180101","7호선","춘의","3503.0","3140.0","20180104"
"20180101","7호선","부천종합운동장","2446.0","2355.0","20180104"
"20180101","7호선","까치울","3054.0","2966.0","20180104"
"20180101","7호선","온수(성공회대입구)","3528.0","3852.0","20180104"
"20180101","7호선","천왕","3641.0","3628.0","20180104"
"20180101","7호선","광명사거리","14141.0","13844.0","20180104"
"20180101","7호선","철산","10801.0","10899.0","20180104"
"20180101","7호선","가산디지털단지","11106.0","10247.0","20180104"
"20180101","7호선","남구로","8332.0","7926.0","20180104"
"20180101","7호선","대림(구로구청)","9554.0","9045.0","20180104"
"20180101","7호선","신풍","5547.0","5373.0","20180104"
"20180101","7호선","보라매","3306.0","3471.0","20180104"
"20180101","7호선","신대방삼거리","6799.0","7157.0","20180104"
"20180101","7호선","장승배기","4885.0","5232.0","20180104"
"20180101","7호선","상도","4544.0","5073.0","20180104"
"20180101","7호선","숭실대입구(살피재)","5085.0","5902.0","20180104"
"20180101","7호선","남성","4858.0","5189.0","20180104"
"20180101","7호선","이수","7347.0","7145.0","20180104"
"20180101","7호선","내방","4171.0","4431.0","20180104"
"20180101","7호선","고속터미널","19167.0","10573.0","20180104"
"20180101","7호선","반포","2714.0","2634.0","20180104"
"20180101","7호선","논현","5632.0","5955.0","20180104"
"20180101","7호선","학동","4439.0","4157.0","20180104"
"20180101","7호선","강남구청","3311.0","3682.0","20180104"
"20180101","7호선","청담","5668.0","5910.0","20180104"
"20180101","7호선","뚝섬유원지","4558.0","4320.0","20180104"
"20180101","7호선","건대입구","9395.0","9772.0","20180104"
"20180101","7호선","어린이대공원(세종대)","6171.0","6279.0","20180104"
"20180101","7호선","군자(능동)","7034.0","4447.0","20180104"
"20180101","7호선","중곡","4594.0","4587.0","20180104"
"20180101","7호선","용마산","2928.0","3076.0","20180104"
"20180101","7호선","사가정","7758.0","7791.0","20180104"
"20180101","7호선","면목","7191.0","7362.0","20180104"
"20180101","7호선","상봉(시외버스터미널)","8478.0","8039.0","20180104"
"20180101","7호선","중화","4934.0","5032.0","20180104"
"20180101","7호선","먹골","4662.0","4810.0","20180104"
"20180101","7호선","태릉입구","3817.0","3629.0","20180104"
"20180101","7호선","공릉(서울과학기술대)","5365.0","6010.0","20180104"
"20180101","7호선","하계","9114.0","9016.0","20180104"
"20180101","7호선","중계","6128.0","5840.0","20180104"
"20180101","7호선","노원","9425.0","10323.0","20180104"
"20180101","7호선","마들","5064.0","5008.0","20180104"
"20180101","7호선","수락산","6922.0","6789.0","20180104"
"20180101","7호선","도봉산","4412.0","6162.0","20180104"
"20180101","7호선","장암","819.0","371.0","20180104"
"20180101","6호선","봉화산(서울의료원)","3842.0","3896.0","20180104"
"20180101","6호선","화랑대(서울여대입구)","4681.0","4235.0","20180104"
"20180101","6호선","태릉입구","2279.0","2716.0","20180104"
"20180101","6호선","석계","5934.0","6270.0","20180104"
"20180101","6호선","돌곶이","3801.0","3828.0","20180104"
"20180101","6호선","상월곡(한국과학기술연구원)","2508.0","2463.0","20180104"
"20180101","6호선","월곡(동덕여대)","5332.0","5524.0","20180104"
"20180101","6호선","고려대(종암)","3540.0","3911.0","20180104"
"20180101","6호선","안암(고대병원앞)","4339.0","5478.0","20180104"
"20180101","6호선","보문","3283.0","3423.0","20180104"
"20180101","6호선","창신","1302.0","1219.0","20180104"
"20180101","6호선","동묘앞","4870.0","4232.0","20180104"
"20180101","6호선","신당","3527.0","3115.0","20180104"
"20180101","6호선","청구","1451.0","1572.0","20180104"
"20180101","6호선","약수","1426.0","1518.0","20180104"
"20180101","6호선","버티고개","972.0","1066.0","20180104"
"20180101","6호선","한강진","2723.0","2849.0","20180104"
"20180101","6호선","이태원","19423.0","12660.0","20180104"
"20180101","6호선","녹사평(용산구청)","4064.0","3730.0","20180104"
"20180101","6호선","삼각지","3193.0","2615.0","20180104"
"20180101","6호선","효창공원앞","2688.0","2492.0","20180104"
"20180101","6호선","공덕","6260.0","6221.0","20180104"
"20180101","6호선","대흥(서강대앞)","2830.0","3258.0","20180104"
"20180101","6호선","광흥창(서강)","3610.0","3468.0","20180104"
"20180101","6호선","상수","6584.0","6182.0","20180104"
"20180101","6호선","합정","8533.0","7002.0","20180104"
"20180101","6호선","망원","6356.0","7031.0","20180104"
"20180101","6호선","마포구청","5565.0","5208.0","20180104"
"20180101","6호선","월드컵경기장(성산)","7014.0","6915.0","20180104"
"20180101","6호선","디지털미디어시티","4999.0","5383.0","20180104"
"20180101","6호선","증산(명지대앞)","5231.0","5420.0","20180104"
"20180101","6호선","새절(신사)","6048.0","6451.0","20180104"
"20180101","6호선","구산","3453.0","2838.0","20180104"
"20180101","6호선","독바위","1437.0","1802.0","20180104"
"20180101","6호선","불광","3475.0","3193.0","20180104"
"20180101","6호선","역촌","1794.0","2131.0","20180104"
"20180101","6호선","응암","8706.0","9502.0","20180104"
"20180101","5호선","마천","2517.0","2821.0","20180104"
"20180101","5호선","거여","2915.0","2892.0","20180104"
"20180101","5호선","개롱","2517.0","2731.0","20180104"
"20180101","5호선","오금","1172.0","1196.0","20180104"
"20180101","5호선","방이","2952.0","2831.0","20180104"
"20180101","5호선","올림픽공원(한국체대)","1920.0","1905.0","20180104"
"20180101","5호선","둔촌동","3966.0","4210.0","20180104"
"20180101","5호선","상일동","4180.0","3993.0","20180104"
"20180101","5호선","고덕","3518.0","3592.0","20180104"
"20180101","5호선","명일","3122.0","3374.0","20180104"
"20180101","5호선","굽은다리(강동구민회관앞)","4670.0","4509.0","20180104"
"20180101","5호선","길동","3420.0","3779.0","20180104"
"20180101","5호선","강동","8473.0","8045.0","20180104"
"20180101","5호선","천호(풍납토성)","10516.0","10530.0","20180104"
"20180101","5호선","광나루(장신대)","7221.0","7107.0","20180104"
"20180101","5호선","아차산(어린이대공원후문)","11208.0","10671.0","20180104"
"20180101","5호선","군자(능동)","5053.0","7059.0","20180104"
"20180101","5호선","장한평","6900.0","6868.0","20180104"
"20180101","5호선","답십리","7144.0","6905.0","20180104"
"20180101","5호선","마장","2647.0","2607.0","20180104"
"20180101","5호선","왕십리(성동구청)","2438.0","3142.0","20180104"
"20180101","5호선","행당","3489.0","3259.0","20180104"
"20180101","5호선","신금호","2485.0","2686.0","20180104"
"20180101","5호선","청구","1526.0","1472.0","20180104"
"20180101","5호선","동대문역사문화공원","871.0","972.0","20180104"
"20180101","5호선","을지로4가","1145.0","1266.0","20180104"
